model,run,gene,n,n_pathogenic,n_benign,valid,auroc,ci_lo,ci_hi,accuracy,pred_pos_frac
dnabert2,DNABERT-2 seed 2,BRCA2,5804,3970,1834,True,0.6723300297487426,0.6570467160534407,0.6862161388702281,0.5554789800137836,0.3518263266712612
dnabert2,DNABERT-2 seed 2,DMD,5804,2392,3412,True,0.6901438754425655,0.6768679273188307,0.7042433631987406,0.6243969676085458,0.3907649896623019
dnabert2,DNABERT-2 seed 2,NF1,5804,3440,2364,True,0.7116279069767442,0.6981943468482829,0.7244610165374793,0.5959682977257064,0.29789800137835976
dnabert2,DNABERT-2 seed 2,CDH1,2673,979,1694,True,0.6822221793435462,0.6598070550872498,0.7025296390059087,0.6576879910213244,0.2768424990647213
dnabert2,DNABERT-2 seed 2,ALK,2424,299,2125,True,0.6226700767263427,0.5925050306447684,0.6554533399641265,0.7112211221122112,0.257013201320132
dnabert2,DNABERT-2 seed 2,CACNA1S,1757,451,1306,True,0.7167533098134824,0.6882320045783327,0.7414151471660889,0.7017643710870802,0.2896983494593056
dnabert2,DNABERT-2 seed 2,ARID1A,941,221,720,True,0.650062845651081,0.6060552158351328,0.6907999299495008,0.6843783209351754,0.28055260361317746
dnabert2,DNABERT-2 seed 2,BRAF,807,191,616,True,0.6869432923097845,0.6479461268641175,0.7277468754357381,0.711276332094176,0.19330855018587362
dnabert2,DNABERT-2 seed 2,F8,740,638,102,True,0.6299250107566537,0.5686977207880435,0.6882196898767384,0.45135135135135135,0.3891891891891892
dnabert2,DNABERT-2 seed 2,CTNNB1,542,242,300,True,0.7412121212121212,0.69723120652166,0.7792255494193958,0.6678966789667896,0.3062730627306273
dnabert2,DNABERT-2 seed 2,ABL1,521,46,475,True,0.6472768878718536,0.5638157957022899,0.7291669867951414,0.72552783109405,0.2591170825335892
dnabert2,DNABERT-2 seed 2,FBXW7,101,32,69,True,0.6326992753623188,0.5253789050987328,0.7379077071019795,0.5841584158415841,0.27722772277227725
dnabert2,DNABERT-2 seed 2,BCR,58,0,58,False,,,,0.8103448275862069,0.1896551724137931
dnabert2,DNABERT-2 seed 3,ATM,5804,2715,3089,True,0.6681593988530561,0.6545671054177012,0.6819258863238804,0.6073397656788422,0.36181943487250173
dnabert2,DNABERT-2 seed 3,BRCA2,5804,3970,1834,True,0.6446216031358416,0.6277977712243953,0.6596930473561854,0.5558235699517574,0.4217780840799449
dnabert2,DNABERT-2 seed 3,DMD,5804,2392,3412,True,0.6827671100816712,0.6690586530414353,0.6961968381797691,0.6202618883528601,0.4665747760165403
dnabert2,DNABERT-2 seed 3,NF1,5804,3440,2364,True,0.6634819654310786,0.64917147906284,0.6787895568444297,0.5677119228118539,0.3561337008959338
dnabert2,DNABERT-2 seed 3,CDH1,2673,979,1694,True,0.6437013167907402,0.6214538719110375,0.6631579585345703,0.6281331836887393,0.30190796857463525
dnabert2,DNABERT-2 seed 3,ALK,2424,299,2125,True,0.629648632697226,0.5950391509229048,0.6622919805398619,0.7508250825082509,0.21245874587458746
dnabert2,DNABERT-2 seed 3,CACNA1S,1757,451,1306,True,0.7097431944666098,0.6811804126913408,0.7371752530478464,0.7268070574843484,0.2373363688104724
dnabert2,DNABERT-2 seed 3,ARID1A,941,221,720,True,0.6180492709904475,0.5771919276428488,0.6611445500595606,0.6695005313496281,0.26567481402763016
dnabert2,DNABERT-2 seed 3,BRAF,807,191,616,True,0.7222198612905419,0.683163323308794,0.7593007270940122,0.7273853779429987,0.22428748451053285
dnabert2,DNABERT-2 seed 3,F8,740,638,102,True,0.654450181326449,0.5926253731226324,0.7153768231450911,0.5445945945945946,0.49864864864864866
dnabert2,DNABERT-2 seed 3,CTNNB1,542,242,300,True,0.7277548209366391,0.6875400927835351,0.7667157589654932,0.6605166051660517,0.34317343173431736
dnabert2,DNABERT-2 seed 3,ABL1,521,46,475,True,0.6358352402745996,0.5420424836601306,0.7177796282692683,0.6871401151631478,0.30518234165067176
dnabert2,DNABERT-2 seed 3,FBXW7,101,32,69,True,0.7128623188405797,0.606897677313417,0.8084619805481874,0.6237623762376238,0.4158415841584158
dnabert2,DNABERT-2 seed 3,BCR,58,0,58,False,,,,0.7586206896551724,0.2413793103448276
