run,split,variant,resample,matched_n,auroc
M4,A,all_eligible,66,30480,0.5
M4,A,all_eligible,67,30480,0.5
M4,A,all_eligible,68,30480,0.5
M4,A,all_eligible,69,30480,0.5
M4,A,all_eligible,70,30480,0.5
M4,A,all_eligible,71,30480,0.5
M4,A,all_eligible,72,30480,0.5
M4,A,all_eligible,73,30480,0.5
M4,A,all_eligible,74,30480,0.5
M4,A,all_eligible,75,30480,0.5
M4,A,all_eligible,76,30480,0.5
M4,A,all_eligible,77,30480,0.5
M4,A,all_eligible,78,30480,0.5
M4,A,all_eligible,79,30480,0.5
M4,A,all_eligible,80,30480,0.5
M4,A,all_eligible,81,30480,0.5
M4,A,all_eligible,82,30480,0.5
M4,A,all_eligible,83,30480,0.5
M4,A,all_eligible,84,30480,0.5
M4,A,all_eligible,85,30480,0.5
M4,A,all_eligible,86,30480,0.5
M4,A,all_eligible,87,30480,0.5
M4,A,all_eligible,88,30480,0.5
M4,A,all_eligible,89,30480,0.5
M4,A,all_eligible,90,30480,0.5
M4,A,all_eligible,91,30480,0.5
M4,A,all_eligible,92,30480,0.5
M4,A,all_eligible,93,30480,0.5
M4,A,all_eligible,94,30480,0.5
M4,A,all_eligible,95,30480,0.5
M4,A,all_eligible,96,30480,0.5
M4,A,all_eligible,97,30480,0.5
M4,A,all_eligible,98,30480,0.5
M4,A,all_eligible,99,30480,0.5
M4,A,af_known_only,0,4222,0.5
M4,A,af_known_only,1,4222,0.5
M4,A,af_known_only,2,4222,0.5
M4,A,af_known_only,3,4222,0.5
M4,A,af_known_only,4,4222,0.5
M4,A,af_known_only,5,4222,0.5
M4,A,af_known_only,6,4222,0.5
M4,A,af_known_only,7,4222,0.5
M4,A,af_known_only,8,4222,0.5
M4,A,af_known_only,9,4222,0.5
M4,A,af_known_only,10,4222,0.5
M4,A,af_known_only,11,4222,0.5
M4,A,af_known_only,12,4222,0.5
M4,A,af_known_only,13,4222,0.5
M4,A,af_known_only,14,4222,0.5
M4,A,af_known_only,15,4222,0.5
M4,A,af_known_only,16,4222,0.5
M4,A,af_known_only,17,4222,0.5
M4,A,af_known_only,18,4222,0.5
M4,A,af_known_only,19,4222,0.5
M4,A,af_known_only,20,4222,0.5
M4,A,af_known_only,21,4222,0.5
M4,A,af_known_only,22,4222,0.5
M4,A,af_known_only,23,4222,0.5
M4,A,af_known_only,24,4222,0.5
M4,A,af_known_only,25,4222,0.5
M4,A,af_known_only,26,4222,0.5
M4,A,af_known_only,27,4222,0.5
M4,A,af_known_only,28,4222,0.5
M4,A,af_known_only,29,4222,0.5
M4,A,af_known_only,30,4222,0.5
M4,A,af_known_only,31,4222,0.5
M4,A,af_known_only,32,4222,0.5
M4,A,af_known_only,33,4222,0.5
M4,A,af_known_only,34,4222,0.5
M4,A,af_known_only,35,4222,0.5
M4,A,af_known_only,36,4222,0.5
M4,A,af_known_only,37,4222,0.5
M4,A,af_known_only,38,4222,0.5
M4,A,af_known_only,39,4222,0.5
M4,A,af_known_only,40,4222,0.5
M4,A,af_known_only,41,4222,0.5
M4,A,af_known_only,42,4222,0.5
M4,A,af_known_only,43,4222,0.5
M4,A,af_known_only,44,4222,0.5
M4,A,af_known_only,45,4222,0.5
M4,A,af_known_only,46,4222,0.5
M4,A,af_known_only,47,4222,0.5
M4,A,af_known_only,48,4222,0.5
M4,A,af_known_only,49,4222,0.5
M4,A,af_known_only,50,4222,0.5
M4,A,af_known_only,51,4222,0.5
M4,A,af_known_only,52,4222,0.5
M4,A,af_known_only,53,4222,0.5
M4,A,af_known_only,54,4222,0.5
M4,A,af_known_only,55,4222,0.5
M4,A,af_known_only,56,4222,0.5
M4,A,af_known_only,57,4222,0.5
M4,A,af_known_only,58,4222,0.5
M4,A,af_known_only,59,4222,0.5
M4,A,af_known_only,60,4222,0.5
M4,A,af_known_only,61,4222,0.5
M4,A,af_known_only,62,4222,0.5
M4,A,af_known_only,63,4222,0.5
M4,A,af_known_only,64,4222,0.5
M4,A,af_known_only,65,4222,0.5
M4,A,af_known_only,66,4222,0.5
M4,A,af_known_only,67,4222,0.5
M4,A,af_known_only,68,4222,0.5
M4,A,af_known_only,69,4222,0.5
M4,A,af_known_only,70,4222,0.5
M4,A,af_known_only,71,4222,0.5
M4,A,af_known_only,72,4222,0.5
M4,A,af_known_only,73,4222,0.5
M4,A,af_known_only,74,4222,0.5
M4,A,af_known_only,75,4222,0.5
M4,A,af_known_only,76,4222,0.5
M4,A,af_known_only,77,4222,0.5
M4,A,af_known_only,78,4222,0.5
M4,A,af_known_only,79,4222,0.5
M4,A,af_known_only,80,4222,0.5
M4,A,af_known_only,81,4222,0.5
M4,A,af_known_only,82,4222,0.5
M4,A,af_known_only,83,4222,0.5
M4,A,af_known_only,84,4222,0.5
M4,A,af_known_only,85,4222,0.5
M4,A,af_known_only,86,4222,0.5
M4,A,af_known_only,87,4222,0.5
M4,A,af_known_only,88,4222,0.5
M4,A,af_known_only,89,4222,0.5
M4,A,af_known_only,90,4222,0.5
M4,A,af_known_only,91,4222,0.5
M4,A,af_known_only,92,4222,0.5
M4,A,af_known_only,93,4222,0.5
M4,A,af_known_only,94,4222,0.5
M4,A,af_known_only,95,4222,0.5
M4,A,af_known_only,96,4222,0.5
M4,A,af_known_only,97,4222,0.5
M4,A,af_known_only,98,4222,0.5
M4,A,af_known_only,99,4222,0.5
NT,A,all_eligible,0,30480,0.9357620676352464
NT,A,all_eligible,1,30480,0.9354875943779666
NT,A,all_eligible,2,30480,0.9354724366393177
NT,A,all_eligible,3,30480,0.935387253205062
NT,A,all_eligible,4,30480,0.9357215199847067
NT,A,all_eligible,5,30480,0.9355892013867361
NT,A,all_eligible,6,30480,0.9357966736072361
NT,A,all_eligible,7,30480,0.9355385679521359
NT,A,all_eligible,8,30480,0.9358783458539139
NT,A,all_eligible,9,30480,0.9358830539883302
NT,A,all_eligible,10,30480,0.9353433063116127
NT,A,all_eligible,11,30480,0.9356796677482244
NT,A,all_eligible,12,30480,0.9356869979712181
NT,A,all_eligible,13,30480,0.9358195275418328
NT,A,all_eligible,14,30480,0.9350488681532919
NT,A,all_eligible,15,30480,0.9356751146141181
NT,A,all_eligible,16,30480,0.9354425797046039
NT,A,all_eligible,17,30480,0.9357632947210339
NT,A,all_eligible,18,30480,0.9352959709391641
NT,A,all_eligible,19,30480,0.9356256544457533
NT,A,all_eligible,20,30480,0.9360505856428379
NT,A,all_eligible,21,30480,0.9357510432381976
NT,A,all_eligible,22,30480,0.9351199336426451
NT,A,all_eligible,23,30480,0.9356030911367378
NT,A,all_eligible,24,30480,0.9353531445257335
NT,A,all_eligible,25,30480,0.9357911861657057
NT,A,all_eligible,26,30480,0.9357186008122016
NT,A,all_eligible,27,30480,0.9358988833949891
NT,A,all_eligible,28,30480,0.9356038812077624
NT,A,all_eligible,29,30480,0.9357399025909163
NT,A,all_eligible,30,30480,0.935404895254235
NT,A,all_eligible,31,30480,0.9351292745641047
NT,A,all_eligible,32,30480,0.9356914456190023
NT,A,all_eligible,33,30480,0.93551563221182
NT,A,all_eligible,34,30480,0.9353218366158954
NT,A,all_eligible,35,30480,0.9355905318060637
NT,A,all_eligible,36,30480,0.9355923444485778
NT,A,all_eligible,37,30480,0.9356339814068517
NT,A,all_eligible,38,30480,0.9356711319672639
NT,A,all_eligible,39,30480,0.9357735957833027
NT,A,all_eligible,40,30480,0.9353700287956132
NT,A,all_eligible,41,30480,0.9354594575161372
NT,A,all_eligible,42,30480,0.9351535450293122
NT,A,all_eligible,43,30480,0.9357509205296188
NT,A,all_eligible,44,30480,0.9360018380453428
NT,A,all_eligible,45,30480,0.9358141994061766
NT,A,all_eligible,46,30480,0.9358162746881049
NT,A,all_eligible,47,30480,0.9355036261461411
NT,A,all_eligible,48,30480,0.9351425701462514
NT,A,all_eligible,49,30480,0.9354277341193571
NT,A,all_eligible,50,30480,0.9355278148056296
NT,A,all_eligible,51,30480,0.9359018327064432
NT,A,all_eligible,52,30480,0.9354185697260283
NT,A,all_eligible,53,30480,0.9357606747852385
NT,A,all_eligible,54,30480,0.9351599581671386
NT,A,all_eligible,55,30480,0.9354663485715861
NT,A,all_eligible,56,30480,0.9355205534716625
NT,A,all_eligible,57,30480,0.9355346305137054
NT,A,all_eligible,58,30480,0.935451752709061
NT,A,all_eligible,59,30480,0.9355594994523322
NT,A,all_eligible,60,30480,0.9355504556148001
NT,A,all_eligible,61,30480,0.9355276296663705
NT,A,all_eligible,62,30480,0.9354961215477986
NT,A,all_eligible,63,30480,0.9359104330708662
NT,A,all_eligible,64,30480,0.935641712047313
NT,A,all_eligible,65,30480,0.9353562940459215
NT,A,all_eligible,66,30480,0.9354342484379413
NT,A,all_eligible,67,30480,0.9355336660673321
NT,A,all_eligible,68,30480,0.9354660493348764
NT,A,all_eligible,69,30480,0.9353428197828618
NT,A,all_eligible,70,30480,0.9357626811781401
NT,A,all_eligible,71,30480,0.9358915424080848
NT,A,all_eligible,72,30480,0.9357848828197657
NT,A,all_eligible,73,30480,0.9356133878934425
NT,A,all_eligible,74,30480,0.9352081632635487
NT,A,all_eligible,75,30480,0.9357271043014308
NT,A,all_eligible,76,30480,0.9355936641039949
NT,A,all_eligible,77,30480,0.935659692083273
NT,A,all_eligible,78,30480,0.9358280051976771
NT,A,all_eligible,79,30480,0.9356900032550065
NT,A,all_eligible,80,30480,0.9352609903830919
NT,A,all_eligible,81,30480,0.9357539387300997
NT,A,all_eligible,82,30480,0.9353308008004905
NT,A,all_eligible,83,30480,0.935572820867864
NT,A,all_eligible,84,30480,0.9357308716700766
NT,A,all_eligible,85,30480,0.9359240752509282
NT,A,all_eligible,86,30480,0.9357203079683937
NT,A,all_eligible,87,30480,0.9356358693967388
NT,A,all_eligible,88,30480,0.9351681042945419
NT,A,all_eligible,89,30480,0.9354089790818471
NT,A,all_eligible,90,30480,0.9356808754589732
NT,A,all_eligible,91,30480,0.9350109038412521
NT,A,all_eligible,92,30480,0.9355342150267634
NT,A,all_eligible,93,30480,0.9358620579046714
NT,A,all_eligible,94,30480,0.9354927825827873
NT,A,all_eligible,95,30480,0.9354867634040823
NT,A,all_eligible,96,30480,0.9358027229248903
NT,A,all_eligible,97,30480,0.9351901638525499
NT,A,all_eligible,98,30480,0.93532629502759
NT,A,all_eligible,99,30480,0.935397999893222
NT,A,af_known_only,0,4222,0.8139961192203164
NT,A,af_known_only,1,4222,0.8157305095391467
NT,A,af_known_only,2,4222,0.8182491790874131
NT,A,af_known_only,3,4222,0.8174631046551628
NT,A,af_known_only,4,4222,0.8164261506296338
NT,A,af_known_only,5,4222,0.8184634814233535
NT,A,af_known_only,6,4222,0.8151784846737926
NT,A,af_known_only,7,4222,0.815269815616963
NT,A,af_known_only,8,4222,0.8168825809451339
NT,A,af_known_only,9,4222,0.8154899523620494
NT,A,af_known_only,10,4222,0.8142312907889715
NT,A,af_known_only,11,4222,0.8200223906670996
